rank,avg_score,funny,think,text,synthetic_query,openalex_id,doi,publication_year,justification
11,4.5,4,5,Twitter mood predicts the stock market,A Machine Learning Approach to Predicting Mood Swings Based on Avocado Prices,https://openalex.org/W3036643286,https://doi.org/10.48550/arxiv.1010.3003,2010,"The idea that Twitter mood can predict stock market trends is humorous and insightful, blending social media with economics."
12,4.5,5,4,"Worm Grunting, Fiddling, and Charming—Humans Unknowingly Mimic a Predator to Harvest Bait",The Acoustic Preferences of Earthworms: A Vibrational Symphony,https://openalex.org/W2007187935,https://doi.org/10.1371/journal.pone.0003472,2008,"The concept of 'worm grunting' is inherently humorous and absurd, showcasing a unique human-animal interaction that is both entertaining and thought-provoking."
13,4.5,4,5,Predicting and improving complex beer flavor through machine learning,Aroma Algorithms: Can Artificial Intelligence Predict Gustatory Trends from Smell Profiles?,https://openalex.org/W4393201001,https://doi.org/10.1038/s41467-024-46346-0,2024,"The use of machine learning to predict beer flavor is both amusing and insightful, combining technology with a beloved beverage. It raises interesting questions about flavor perception."
14,4.5,4,5,Overcooling of offices reveals gender inequity in thermal comfort,The Hidden Economic Cost of Office Thermostat Feuds,https://openalex.org/W4200626288,https://doi.org/10.1038/s41598-021-03121-1,2021,The absurdity of overcooling offices leading to gender inequity is both funny and thought-provoking. It highlights a serious issue in workplace design and gender comfort.
15,4.5,4,5,It pays to cheat: tactical deception in a cephalopod social signalling system,Evaluating the Politeness Protocols Enforced by Moon Jellyfish,https://openalex.org/W2133335008,https://doi.org/10.1098/rsbl.2012.0435,2012,"The idea of cuttlefish using deception in courtship is both funny and thought-provoking, highlighting complex social behaviors in animals."
16,4.5,4,5,Nesting chinstrap penguins accrue large quantities of sleep through seconds-long microsleeps,Assessing the Effects of Snoring on Symphony Performances Among Slumbering Seals,https://openalex.org/W4389160650,https://doi.org/10.1126/science.adh0771,2023,The concept of chinstrap penguins accumulating sleep through microsleeps is both amusing and offers significant insights into animal behavior.
17,4.0,3,5,Species interactions and the structure of complex communication networks,The Cacophonic Orchestra: Analyzing Cross-Species Communication in Zoo Populations,https://openalex.org/W2057605409,https://doi.org/10.1073/pnas.1314337111,2014,"The idea of species communicating in complex networks is both humorous and thought-provoking, especially the unexpected findings about signal convergence."
18,4.0,3,5,Social networks reveal cultural behaviour in tool-using dolphins,Dolphins Dressing Up: An Exploration of Marine Mammal Tool Use in Fashion,https://openalex.org/W2014686052,https://doi.org/10.1038/ncomms1983,2012,"The idea of cultural behavior in dolphins is both amusing and insightful, highlighting the complexity of animal societies."
19,4.0,3,5,Why Do Dolphins Carry Sponges?,Dolphins Dressing Up: An Exploration of Marine Mammal Tool Use in Fashion,https://openalex.org/W2116252849,https://doi.org/10.1371/journal.pone.0003868,2008,"The question of why dolphins carry sponges is both humorous and thought-provoking, addressing animal cognition and social behavior."
20,4.0,3,5,Chameleons communicate with complex colour changes during contests: different body regions convey different information,Chameleon Fashion Week: Investigating Color Choice in Natural Camouflage vs. Social Display,https://openalex.org/W2164301065,https://doi.org/10.1098/rsbl.2013.0892,2013,"Chameleons changing color during contests is both humorous and thought-provoking, as it highlights the absurdity of animal communication strategies."
21,4.0,3,5,Selection for Social Signalling Drives the Evolution of Chameleon Colour Change,Chameleon Fashion Week: Investigating Color Choice in Natural Camouflage vs. Social Display,https://openalex.org/W2086518553,https://doi.org/10.1371/journal.pbio.0060025,2008,"The evolutionary aspect of chameleon color change for social signaling is both amusing and insightful, as it combines humor with serious evolutionary biology."
22,4.0,4,4,"A Jungle in There: Bacteria in Belly Buttons are Highly Diverse, but Predictable",Microbial Communities in the Navels of Belly-Button Lint Collectors,https://openalex.org/W2166078786,https://doi.org/10.1371/journal.pone.0047712,2012,"The exploration of belly button bacteria is inherently funny and surprising, while also provoking curiosity about human microbiomes."
23,4.0,3,5,Honey bees selectively avoid difficult choices,Honeybee Decision-Making under the Influence of Caffeine,https://openalex.org/W2025386802,https://doi.org/10.1073/pnas.1314571110,2013,"The idea that honey bees can avoid difficult choices is humorous and thought-provoking, as it suggests a level of cognitive complexity in insects that is surprising."
24,4.0,4,4,The Impact of ‘Selfie’ Tourism on the Behaviour and Welfare of Brown-Throated Three-Toed Sloths,A Comparative Study of Mindfulness Meditation Techniques in Sloths,https://openalex.org/W2901120672,https://doi.org/10.3390/ani8110216,2018,"The concept of sloths being used as photo props is inherently humorous, and it raises important ethical questions about animal welfare."
25,4.0,3,5,African elephants have expectations about the locations of out-of-sight family members,Elephant Memory and the Anecdotal Effects of Forgetting,https://openalex.org/W2106914753,https://doi.org/10.1098/rsbl.2007.0529,2007,"The concept of elephants tracking family members through urine is both amusing and insightful, provoking curiosity about animal cognition."
26,4.0,4,4,On the Velocity of Expanding Spherical Gas Bubbles Rising in Line in Supersaturated Hydroalcoholic Solutions: Application to Bubble Trains in Carbonated Beverages,The Fluid Dynamics of Champagne Bubbles in Opened and Unopened Bottles,https://openalex.org/W2025435391,https://doi.org/10.1021/la990653x,1999,The study of champagne bubbles rising is inherently humorous due to the context of beverages and the absurdity of measuring bubble dynamics. It also raises interesting questions about fluid dynamics.
27,4.0,4,4,Modeling the Kinetics of Bubble Nucleation in Champagne and Carbonated Beverages,The Fluid Dynamics of Champagne Bubbles in Opened and Unopened Bottles,https://openalex.org/W2089491427,https://doi.org/10.1021/jp0640427,2006,"The focus on bubble nucleation in champagne is amusing and relatable, making it a fun topic while also being scientifically intriguing."
28,4.0,3,5,Airflow Dynamics of Human Jets: Sneezing and Breathing - Potential Sources of Infectious Aerosols,Impact of Beard Length on Projectile Droplet Trajectory During Sneezing,https://openalex.org/W2001811610,https://doi.org/10.1371/journal.pone.0059970,2013,"The concept of sneezing as a jet-like airflow is amusing and relatable, especially in the context of infectious disease. It raises important questions about aerosol transmission."
29,4.0,4,4,Acoustical resonances of assorted ancient structures,Experimental Study on the Resonance Frequencies of Bronze Age Yelling,https://openalex.org/W2013322458,https://doi.org/10.1121/1.414642,1996,"The idea that ancient structures might have been used for ritual chanting is both humorous and thought-provoking, blending history with acoustics."
30,4.0,4,4,Super Mario brothers and sisters: Associations between coplaying video games and sibling conflict and affection,The Effect of Obscure Board Games on Sibling Rivalry,https://openalex.org/W2201675519,https://doi.org/10.1016/j.adolescence.2015.12.001,2015,"The concept of sibling relationships influenced by video games is amusing and relatable, and it raises interesting questions about family dynamics and conflict."
31,4.0,3,5,Gender Separation Increases Somatic Growth in Females but Does Not Affect Lifespan in Nothobranchius furzeri,The Influence of Breakup Playlists on Goldfish Longevity,https://openalex.org/W2047522492,https://doi.org/10.1371/journal.pone.0011958,2010,"The concept of gender separation affecting growth in fish is intriguing and could lead to humorous interpretations, while also providing significant scientific insights."
32,4.0,4,4,Predicting Elections: Child's Play!,How Playing with Magnetic Fridge Letters Influences Political Opinion,https://openalex.org/W1968155605,https://doi.org/10.1126/science.1167748,2009,"The idea that children can predict elections based on face ratings is both funny and surprisingly insightful, highlighting the absurdity of adult decision-making."
33,4.0,3,5,Subliminal exposure to national flags affects political thought and behavior,How Playing with Magnetic Fridge Letters Influences Political Opinion,https://openalex.org/W2145143536,https://doi.org/10.1073/pnas.0704679104,2007,"The concept of subliminal national cues affecting political behavior is intriguing and somewhat humorous in its implications, leading to significant insights."
34,4.0,4,4,Predicting Elections: Child's Play!,The Role of Bobblehead Collection in Predicting Election Outcomes,https://openalex.org/W1968155605,https://doi.org/10.1126/science.1167748,2009,"The notion that children's preferences can predict election outcomes is both funny and thought-provoking, challenging assumptions about competence."
35,4.0,4,4,Does National Culture Matter? Restaurant Employees’ Workplace Humor and Job Embeddedness,The Relationship Between Pizza Toppings and Workplace Conflict Resolution,https://openalex.org/W3173567942,https://doi.org/10.1177/10963480211027927,2021,"The interplay of humor and job embeddedness in restaurants is both funny and insightful, especially considering cultural differences."
36,4.0,3,5,Changes in Women's Choice of Dress Across the Ovulatory Cycle: Naturalistic and Laboratory Task-Based Evidence,A Sociopsychological Investigation into the Phenomenon of Mismatched Earring Days,https://openalex.org/W2158412254,https://doi.org/10.1177/0146167208323103,2008,The research on women's clothing choices during ovulation is humorous in its implications and provides significant insights into human behavior and biology.
37,4.0,4,4,Positive affect facilitates creative problem solving.,Analyzing the Role of Seasonal Candle Scents on Creativity in Writers,https://openalex.org/W1996314002,https://doi.org/10.1037//0022-3514.52.6.1122,1987,"The notion that watching comedy can enhance creativity is both funny and insightful, making a clear connection between humor and cognitive function."
38,4.0,4,4,ACOUSTIC ENVELOPE DETECTOR FOR CRISPNESS ASSESSMENT OF BISCUITS,The Acoustic Signature of a Perfectly Toasted Slice of Bread,https://openalex.org/W2144611493,https://doi.org/10.1111/j.1745-4603.2005.00008.x,2005,The use of an Acoustic Envelope Detector to assess biscuit crispness is inherently funny due to the absurdity of the technology applied to a simple snack. It also raises interesting questions about food texture.
39,4.0,3,5,"Increasing the number of masticatory cycles is associated with reduced appetite and altered postprandial plasma concentrations of gut hormones, insulin and glucose",Effects of Synchronized Dining: Does Chewing Rhythm Influence Digestive Efficiency?,https://openalex.org/W2114291884,https://doi.org/10.1017/s0007114512005053,2012,"The idea that chewing more can affect appetite is both amusing and insightful, as it challenges common assumptions about eating."
40,4.0,4,4,Walking with coffee: Why does it spill?,Thermal Dynamics of Coffee Splatter Relative to Cup Size and Frustration Levels,https://openalex.org/W2009767082,https://doi.org/10.1103/physreve.85.046117,2012,"The concept of studying why coffee spills while walking is inherently funny and relatable, and it also delves into fluid dynamics, making it scientifically interesting."
41,4.0,5,3,Post-periapsis pancakes: sustenance for self-gravity in tidal disruption events,A Study on the Gravitational Effects of Pancake Flip Failure Rates,https://openalex.org/W2189635194,https://doi.org/10.1093/mnras/stv2511,2015,"The concept of pancakes in the context of tidal disruption events is absurdly funny and unexpected, though the scientific content is more complex."
42,4.0,4,4,Fast response times signal social connection in conversation,The Sensory Impact of Soup Aroma on the Duration of Remote Phone Conversations,https://openalex.org/W4205725129,https://doi.org/10.1073/pnas.2116915119,2022,"The concept of measuring social connection through response times in conversation is both humorous and insightful, highlighting the quirks of human interaction."
43,4.0,3,5,How quantifying the shape of stories predicts their success,Developing a Computational Model for the Blockbuster Popularity of Classical Greek Rhetoric on Streaming Platforms,https://openalex.org/W3175897018,https://doi.org/10.1073/pnas.2011695118,2021,"Quantifying story shapes is a humorous and creative approach to understanding narratives, provoking significant curiosity."
44,4.0,4,4,The Linguistics of Laughter: A Corpus-Assisted Study of Laughter-Talk,Exploring the Decay Function of Humor in Dad Jokes: A Computational Approach,https://openalex.org/W568203944,https://doi.org/10.4324/9780203966570,2006,"The exploration of laughter in discourse is inherently humorous and insightful, blending linguistics with social interaction."
45,4.0,3,5,Fragmentation of Rods by Cascading Cracks: Why Spaghetti Does Not Break in Half,The Fibonacci Sequence in the Growth Patterns of Spaghetti Breakage,https://openalex.org/W2003783623,https://doi.org/10.1103/physrevlett.95.095505,2005,The unexpected behavior of spaghetti breaking in multiple pieces is amusing and offers a fascinating insight into physics and material science.
46,4.0,3,5,Yawn duration predicts brain weight and cortical neuron number in mammals,A Statistical Examination of the Variability of Yawn Duration Across Different Species,https://openalex.org/W2529064514,https://doi.org/10.1098/rsbl.2016.0545,2016,"The correlation between yawn duration and brain weight is both funny and insightful, as it connects a mundane action to serious neurological implications."
47,4.0,4,4,LEARNING TO LAUGH (AUTOMATICALLY): COMPUTATIONAL MODELS FOR HUMOR RECOGNITION,Investigating the Computational Complexity of Tickling: An Algorithmic Approach,https://openalex.org/W2015089823,https://doi.org/10.1111/j.1467-8640.2006.00278.x,2006,"The attempt to create computational models for humor recognition is both funny and thought-provoking, as it tackles a complex aspect of human behavior."
48,4.0,3,5,Melting of glacier ice enhanced by bursting air bubbles,The Role of Flatulence in Antarctic Ice Sheet Melting,https://openalex.org/W4386498910,https://doi.org/10.1038/s41561-023-01262-8,2023,"The idea that bursting air bubbles could affect glacier melt is surprising and humorous, while also providing significant scientific insight."
49,4.0,3,5,Feathered Detectives: Real-Time GPS Tracking of Scavenging Gulls Pinpoints Illegal Waste Dumping,Pigeons as Urban Cartographers: Mapping Cities Through Droppings,https://openalex.org/W2482938988,https://doi.org/10.1371/journal.pone.0159974,2016,"Using GPS tracking of gulls to detect illegal dumping is both humorous and clever, showcasing an innovative approach to environmental crime detection."
50,4.0,3,5,BitterSweet: Building machine learning models for predicting the bitter and sweet taste of small molecules,Palatable Paradoxes: The Chemistry of Making Bitter Foods Taste Sweet,https://openalex.org/W2951080103,https://doi.org/10.1038/s41598-019-43664-y,2019,"The use of machine learning to predict taste is both amusing and thought-provoking, highlighting the intersection of technology and sensory experiences."
51,4.0,3,5,"Differential effects of exposure to ambient vanilla and citrus aromas on mood, arousal and food choice",Vanilla Vexation: Understanding the Olfactory Effects of Artificial Flavoring on Human Behavior,https://openalex.org/W2153033445,https://doi.org/10.1186/2044-7248-1-24,2012,"The differential effects of vanilla and citrus aromas on mood and food choice is amusing and insightful, revealing the surprising impact of scents on behavior."
52,4.0,3,5,Forty years of olfactory navigation in birds,Olfactory Oddities: The Curious Case of Chemically-Induced Spatial Navigation through Smells,https://openalex.org/W2317688932,https://doi.org/10.1242/jeb.070250,2013,"The idea that pigeons navigate using olfactory cues is both funny and thought-provoking, especially considering how often we underestimate animal senses."
53,4.0,3,5,Chemical Fingerprints of Emotional Body Odor,The Chemistry of Cuddles: Investigating the Role of Smell in Bonding Between People and Pets,https://openalex.org/W3010236843,https://doi.org/10.3390/metabo10030084,2020,"The concept of chemical fingerprints of emotional body odor is both amusing and insightful, raising questions about the connection between emotions and chemical signals."
54,4.0,3,5,Subliminal Smells can Guide Social Preferences,Subliminal Scents: The Effect of Understated Aromas on Decision-Making Processes,https://openalex.org/W2166689112,https://doi.org/10.1111/j.1467-9280.2007.02023.x,2007,"The idea that subliminal smells can influence social preferences is both funny and deeply insightful, as it touches on the subconscious effects of olfaction."
55,4.0,4,4,Cooking Up an Interactive Olfactory Game Display,Sniffing Cyberspace: Virtual Reality Sensations Augmented by Chemical Olfactory Inputs,https://openalex.org/W1992137320,https://doi.org/10.1109/mcg.2008.3,2008,"The concept of an interactive olfactory game display is both humorous and intriguing, as it combines technology with the sense of smell in a playful way."
56,4.0,3,5,Chemical Fingerprints of Emotional Body Odor,Sniffing Out Liars: The Chemical Underpinnings of Deceptive Scent Signatures,https://openalex.org/W3010236843,https://doi.org/10.3390/metabo10030084,2020,"The idea of linking chemical signatures to emotional states is both amusing and thought-provoking, raising questions about human behavior and chemistry."
57,4.0,3,5,Beauty is wealth: CEO attractiveness and firm value,An Empirical Study on the Stock Market Reaction to CEO Footwear Choices,https://openalex.org/W3033675362,https://doi.org/10.1111/fire.12234,2020,The idea that a CEO's attractiveness can impact firm value is amusing and leads to deeper questions about biases in business and the role of appearance in leadership.
58,4.0,3,5,The Light and the Heat: Productivity Co-Benefits of Energy-Saving Technology,Investigating the Economic Benefits of Introducing Competition-Based Workplace Temperature Control,https://openalex.org/W2787867409,https://doi.org/10.1162/rest_a_00886,2019,"The productivity gains from LED lighting on hot days is both amusing and insightful, highlighting unexpected benefits of energy-saving technology."
59,4.0,3,5,Humans recognize emotional arousal in vocalizations across all classes of terrestrial vertebrates: evidence for acoustic universals,Assessing the Emotive Capacities of Cacti During Opera Soliloquies,https://openalex.org/W2645020645,https://doi.org/10.1098/rspb.2017.0990,2017,The idea that humans can recognize emotions across species is amusingly anthropocentric and thought-provoking.
60,4.0,4,4,Self-monitoring and humor production1,Correlation Between Comedic Timing and Accidental Self-inflicted Banana Peel Slips,https://openalex.org/W2087410319,https://doi.org/10.1111/j.1467-6494.1980.tb00825.x,1980,"The study of self-monitoring and humor production is inherently funny, as it examines the humorous person."
61,4.0,4,4,Is That Car Smiling at Me? Schema Congruity as a Basis for Evaluating Anthropomorphized Products,Evaluating the Psychological Stability of Office Supplies When Anthropomorphized,https://openalex.org/W2130653301,https://doi.org/10.1086/518544,2007,"The anthropomorphism of products is a humorous concept that resonates with consumers, making it both funny and thought-provoking."
62,3.5,3,4,Hypocretin/Orexin Overexpression Induces An Insomnia-Like Phenotype in Zebrafish,Do Goldfish Dream of Electric Sheep? Sleep Patterns in Aquarium Residents,https://openalex.org/W2032389394,https://doi.org/10.1523/jneurosci.4332-06.2006,2006,"The idea of studying insomnia in zebrafish is amusing and unexpected, and it raises interesting questions about sleep mechanisms across species."
63,3.5,3,4,Patterns of call communication between group-housed zebra finches change during the breeding cycle,The Cacophonic Orchestra: Analyzing Cross-Species Communication in Zoo Populations,https://openalex.org/W2134908101,https://doi.org/10.7554/elife.07770,2015,"The changing call dynamics of zebra finches during breeding is a humorous take on animal behavior, while also being scientifically interesting."
64,3.5,3,4,Ink secretion by the marine snail Aplysia californica enhances its ability to escape from a natural predator,Snail Trails as Art: A Study on Mollusk-Created Bioluminescent Patterns,https://openalex.org/W2000606301,https://doi.org/10.1007/bf00239926,1995,The concept of a marine snail using ink to escape predators is amusing and highlights an interesting survival strategy.
65,3.5,2,5,The thermodynamics of cognition: A mathematical treatment,The Thermodynamics of Cat Purring and Its Impact on Human Emotion,https://openalex.org/W3120589942,https://doi.org/10.1016/j.csbj.2021.01.008,2021,"The application of thermodynamics to cognition is a surprising and thought-provoking concept, though not inherently humorous."
66,3.5,3,4,Affective responses in tamarins elicited by species-specific music,Moose on the Loose: Behavioral Responses of Cervids to Unexpected Jazz Music,https://openalex.org/W2167822848,https://doi.org/10.1098/rsbl.2009.0593,2009,The idea of tamarins responding to species-specific music is amusing and raises interesting questions about animal perception of sound.
67,3.5,3,4,Are we dependent upon coffee and caffeine? A review on human and animal data,A Quantitative Analysis of Caffeine Addiction in Nocturnal Marsupials,https://openalex.org/W2037508520,https://doi.org/10.1016/s0149-7634(98)00050-5,1999,"The idea of exploring our dependency on coffee and caffeine is relatable and humorous, especially given the cultural significance of coffee. It raises interesting questions about addiction and behavior."
68,3.5,2,5,Forty years of olfactory navigation in birds,Pigeon Pirouettes: The Role of Urban Dance in Avian Navigation,https://openalex.org/W2317688932,https://doi.org/10.1242/jeb.070250,2013,"The concept of pigeons using olfactory cues for navigation is both amusing and fascinating, especially considering how often we overlook the senses of animals."
69,3.5,3,4,"Head-Bobbing During Walking, Running and Flying: Relative Motion Perception in the Pigeon",Pigeon Pirouettes: The Role of Urban Dance in Avian Navigation,https://openalex.org/W2188063706,https://doi.org/10.1242/jeb.138.1.71,1988,The idea of pigeons bobbing their heads while walking and flying is amusing and highlights the complexities of animal movement and perception.
70,3.5,2,5,Autism-Like Behaviours and Memory Deficits Result from a Western Diet in Mice,The Impact of Popcorn Consumption on Cinema-Viewing Raccoons' Cognitive Function,https://openalex.org/W2624075449,https://doi.org/10.1155/2017/9498247,2017,"The connection between a Western diet and autism-like behaviors in mice is both alarming and thought-provoking, with a touch of dark humor in the absurdity of diet-related health issues."
71,3.5,3,4,Human Listeners Are Able to Classify Dog (Canis familiaris) Barks Recorded in Different Situations.,Canine Perplexity: The Enigmatic Experience of Dogs Observing Human Yodeling,https://openalex.org/W2156248415,https://doi.org/10.1037/0735-7036.119.2.136,2005,"The idea that humans can classify dog barks is amusing and taps into our relationships with pets, while also raising interesting questions about animal communication."
72,3.5,2,5,Low‐frequency sounds induce acoustic trauma in cephalopods,The Impact of Classical Music on Octopus Tentacle Ballet,https://openalex.org/W2042756623,https://doi.org/10.1890/100124,2011,"The idea of low-frequency sounds causing trauma in cephalopods is both alarming and absurd, highlighting the impact of human activity on marine life."
73,3.5,3,4,Experimental Evidence for Synchronization to a Musical Beat in a Nonhuman Animal,The Impact of Classical Music on Octopus Tentacle Ballet,https://openalex.org/W4250883835,https://doi.org/10.1016/j.cub.2009.05.023,2009,"The concept of nonhuman animals synchronizing to a musical beat is inherently funny and surprising, as it challenges our understanding of rhythm in the animal kingdom."
74,3.5,3,4,Failure to find self-recognition in Asian elephants (Elephas maximus) in contrast to their use of mirror cues to discover hidden food.,A Study on Elephant Memory: Can They Really Remember Faces from Childhood?,https://openalex.org/W2037139968,https://doi.org/10.1037/0735-7036.103.2.122,1989,The idea that elephants might not recognize themselves in mirrors is amusing and thought-provoking regarding animal cognition.
75,3.5,2,5,Decades-long social memory in bottlenose dolphins,A Study on Elephant Memory: Can They Really Remember Faces from Childhood?,https://openalex.org/W2048570735,https://doi.org/10.1098/rspb.2013.1726,2013,"Dolphins having long-term social memory is fascinating and insightful, though the humor factor is low."
76,3.5,3,4,Sleeping outside the box: electroencephalographic measures of sleep in sloths inhabiting a rainforest,Does Your Rabbit Snore? Auditory Sleep Patterns in Lagomorphs,https://openalex.org/W2099307480,https://doi.org/10.1098/rsbl.2008.0203,2008,"The title suggests a quirky study on sloths and their sleep patterns, which is amusing. It also raises interesting questions about sleep functions in different environments."
77,3.5,3,4,Vocal tract length and acoustics of vocalization in the domestic dog (<i>Canis familiaris</i>),The Long and Short of Giraffe Gossip: Neck Length as a Factor in Vocal Communication,https://openalex.org/W2119221767,https://doi.org/10.1242/jeb.202.20.2859,1999,"The idea of studying vocal tract length in dogs is amusing, especially considering the variety of breeds, and it raises interesting questions about animal communication."
78,3.5,3,4,Market forces predict grooming reciprocity in female baboons,The Effect of Human Hairstyles on Primate Grooming Preferences,https://openalex.org/W2020873537,https://doi.org/10.1098/rspb.1999.0687,1999,"The idea of grooming as a commodity in baboon social interactions is both humorous and thought-provoking, as it likens animal behavior to economic principles, making readers reconsider social exchanges in the animal kingdom."
79,3.5,3,4,Bioinspired spring origami,Octopi and Origami: A Study of Cephalopod-Inspired Paper Folding,https://openalex.org/W2792903561,https://doi.org/10.1126/science.aap7753,2018,"The concept of bioinspired origami from earwig wings is both amusing and thought-provoking, as it combines biology with engineering in a creative way."
80,3.5,3,4,Stretchable origami robotic arm with omnidirectional bending and twisting,Octopi and Origami: A Study of Cephalopod-Inspired Paper Folding,https://openalex.org/W3198476225,https://doi.org/10.1073/pnas.2110023118,2021,"The idea of creating robotic arms inspired by octopus arms is humorous and innovative, provoking thoughts on biomimicry and robotics."
81,3.5,3,4,Grasping with kirigami shells,Octopi and Origami: A Study of Cephalopod-Inspired Paper Folding,https://openalex.org/W3163443358,https://doi.org/10.1126/scirobotics.abd6426,2021,"The use of kirigami shells for grippers is a creative and amusing concept, showcasing a blend of art and science that invites curiosity."
82,3.5,3,4,Human Listeners Are Able to Classify Dog (Canis familiaris) Barks Recorded in Different Situations.,All Bark and No Bite? Canine Vocal Analysis in Personal Disputes,https://openalex.org/W2156248415,https://doi.org/10.1037/0735-7036.119.2.136,2005,"The idea that humans can classify dog barks is amusing and relatable, and it raises interesting questions about animal communication."
83,3.5,3,4,Dog growls express various contextual and affective content for human listeners,All Bark and No Bite? Canine Vocal Analysis in Personal Disputes,https://openalex.org/W2615183991,https://doi.org/10.1098/rsos.170134,2017,"The concept of dogs communicating through growls is both funny and thought-provoking, especially regarding human interpretation."
84,3.5,3,4,Affective responses in tamarins elicited by species-specific music,Reindeer and Rhythm: Exploring Hooved Mammalian Reactions to Holiday Tunes,https://openalex.org/W2167822848,https://doi.org/10.1098/rsbl.2009.0593,2009,"The concept of tamarins responding to species-specific music is both funny and thought-provoking, especially regarding animal emotions."
85,3.5,3,4,Hydrodynamic Aspects of Design and Attachment of A Back-Mounted Device in Penguins,The Aerodynamics of Underwater Farting in Dugongs,https://openalex.org/W2140805460,https://doi.org/10.1242/jeb.194.1.83,1994,"The concept of optimizing a back-mounted device on penguins is amusing, especially considering the potential for penguin fashion."
86,3.5,3,4,24‐h variation of vigilance in the cockroach <i>Blaberus giganteus</i>,Behavioral Patterns of Sleepwalking Tarantulas,https://openalex.org/W1964096623,https://doi.org/10.1111/j.1365-2869.1992.tb00044.x,1992,The concept of studying sleep-like states in cockroaches is inherently funny due to the unexpected nature of the subject. It also raises interesting questions about insect behavior.
87,3.5,3,4,Regularly occurring bouts of retinal movements suggest an REM sleep–like state in jumping spiders,Behavioral Patterns of Sleepwalking Tarantulas,https://openalex.org/W4290725271,https://doi.org/10.1073/pnas.2204754119,2022,"The idea of jumping spiders potentially having REM sleep-like states is amusing and surprising, and it opens up intriguing discussions about sleep across species."
88,3.5,3,4,How the viewing of familiar landscapes prior to release allows pigeons to home faster: evidence from GPS tracking,Pigeon Homing Instincts: Effects of Distractive City Lights,https://openalex.org/W1949047128,https://doi.org/10.1242/jeb.205.24.3833,2002,The concept of pigeons needing a preview of their surroundings to home faster is amusing and raises interesting questions about animal cognition and memory.
